feature,mean_abs_shap
feature_6,1.197142888478216
feature_7,0.529075929681854
feature_10,0.34598945387607616
feature_4,0.2994662225735104
feature_72,0.2539775918544174
feature_42,0.19683781605877032
feature_75,0.18020799404638116
feature_9,0.17753056527968367
feature_41,0.16703139854525315
feature_49,0.160807272623851
feature_8,0.14335186873014416
feature_76,0.1350271417521113
feature_77,0.11626611884582207
feature_5,0.10883976906340051
feature_57,0.09414777899536075
feature_13,0.09092860091024016
feature_44,0.07881577460159293
feature_70,0.06460883082165614
feature_48,0.06426967565157402
feature_78,0.059144784432532724
feature_58,0.052993552276003233
feature_17,0.05102525273390701
feature_50,0.04885355833788283
feature_40,0.04326683317109446
feature_53,0.03773392775981406
feature_54,0.03673723275769198
feature_47,0.03621636131598371
feature_30,0.03413301248741872
feature_32,0.034028403404520124
feature_62,0.026478861991308604
